63
yes no maybe
21 22 20
42 50 62
да 1 0 0
так 14 1 0
звісно 2 1 0
авжеж 1 0 0
справді 1 0 0
безперечно 1 0 0
баззаперечно 1 0 0
цілком 1 0 0
неодмінно 1 0 0
неминуче 2 0 0
стверджую 1 0 0
саме 1 0 0
ось 1 0 0
це 7 3 1
правда 1 0 0
і 1 0 0
є 1 0 0
ймовірно 1 0 0
реально 1 0 0
може 1 0 0
бути 1 0 0
ні 0 11 0
не 0 10 15
нє 0 1 0
неа 0 1 0
нєа 0 1 0
заперечую 0 1 0
ніколи 0 2 0
немає 0 1 0
жодного 0 1 0
думаю 0 1 0
впевнений 0 1 2
згоден 0 1 0
погоджуюся 0 1 0
вважаю 0 2 0
що 0 2 0
правильно 0 1 0
справедливо 0 1 0
вірю 0 1 0
в 0 1 0
можу 0 1 6
погодитися 0 1 0
нізащо 0 1 0
неможливо 0 1 0
знаю 0 0 2
я 0 0 9
сказати 0 0 4
маю 0 0 1
інформації 0 0 1
знайомий 0 0 1
з 0 0 1
цим 0 0 1
вам 0 0 2
допомогти 0 0 1
відповісти 0 0 3
на 0 0 1
напевно 0 0 1
точно 0 0 1
сумніваюся 0 0 1
складно 0 0 2
мені 0 0 1
мабуть 0 0 1
можливо 0 0 1
певен 0 0 1
певна 0 0 1
певне 0 0 1
